Question ID,Category,Method,R_q,G_q,A_q,Latency (s),Retrieval Latency (s),Generation Latency (s),Input Tokens,Output Tokens,Cost ($),Retrieved Sources,Missing Sources,Generated Answer,Reference Answer,Notes
Q11,Multi-Hop-Relational,Vectorless,0,1,0,13.411,0.001,13.409,1357,589,0.000557,05_project_approval_workflow.docx; 01_company_overview.docx; 03_it_security_policy.docx,08_supply_chain_network.xlsx; 09_org_chart_and_roles.xlsx,Information not found in the provided documents.,"David Osei (Director of IT Security) must approve, because Acme Cloud Solutions is a Tier 1 vendor; he reports to Marcus Webb, VP of Engineering.",Some expected sources were not retrieved.
Q12,Multi-Hop-Relational,Vectorless,0,1,1,10.859,0.001,10.857,1161,220,0.000306,04_vendor_contract_acme.pdf; 05_project_approval_workflow.docx; 02_hr_policy_manual.docx; 03_it_security_policy.docx,09_org_chart_and_roles.xlsx,Priya Raman – Head of Procurement → Sarah Chen – Chief Financial Officer → Tom Reyes – Chief Executive Officer.,Acme Cloud Solutions' Amendment No. 2; approval chain was Priya Raman (Head of Procurement) -> Sarah Chen (CFO) -> Tom Reyes (CEO).,Some expected sources were not retrieved.
Q13,Multi-Hop-Relational,Vectorless,0,1,1,12.903,0.001,12.901,1050,304,0.00034,02_hr_policy_manual.docx; 05_project_approval_workflow.docx; 03_it_security_policy.docx,01_company_overview.docx; 08_supply_chain_network.xlsx,"The project that depends on Bright Steel Supply is owned by the Engineering business unit, and its engineering work is led by Marcus Webb.","Bright Steel Supply supports Project Helios, which is owned by the Engineering organization led by Marcus Webb, VP of Engineering.",Some expected sources were not retrieved.
Q14,Multi-Hop-Relational,Vectorless,0,1,0,11.364,0.001,11.363,1403,441,0.000475,08_supply_chain_network.xlsx; 04_vendor_contract_acme.pdf; 01_company_overview.docx; 03_it_security_policy.docx; 02_hr_policy_manual.docx,09_org_chart_and_roles.xlsx,"David Osei (IT Security) is responsible for the annual review, and he reports to Marcus Webb, Vice President of Engineering.",Acme Cloud Solutions is the flagged single-point-of-failure vendor; its annual review is conducted jointly by David Osei (reports to Marcus Webb) and Aisha Malik (reports to Elena Petrova).,Some expected sources were not retrieved.
Q15,Multi-Hop-Relational,Vectorless,0,1,0,13.846,0.002,13.841,1403,1146,0.000898,08_supply_chain_network.xlsx; 04_vendor_contract_acme.pdf; 05_project_approval_workflow.docx; 03_it_security_policy.docx,09_org_chart_and_roles.xlsx,Priya Raman → David Osei → Elena Petrova → Priya Raman → David Osei → Sarah Chen → Tom Reyes,"(1) Elena Petrova, General Counsel - new-contract legal review; (2) Priya Raman, Head of Procurement; (3) David Osei, Director of IT Security - required for Tier 1 vendor; (4) Sarah Chen, CFO; (5) Tom Reyes, CEO.",Some expected sources were not retrieved.
Q16,Multi-Hop-Relational,Vectorless,1,1,1,14.74,0.002,14.732,1256,206,0.000312,06_quarterly_financial_report_q3.xlsx; 05_project_approval_workflow.docx; 01_company_overview.docx; 08_supply_chain_network.xlsx,,"Cost Center: CC-4489  
Vendor handling logistics: Vertex Logistics  
IT Security Tier: Tier 3 (Low Risk)",Cost Center CC-4489 funds Project Atlas; Vertex Logistics handles logistics; it is a Tier 3 (Low Risk) vendor.,OK
Q17,Multi-Hop-Relational,Vectorless,0,1,0,11.811,0.001,11.809,1358,191,0.000318,06_quarterly_financial_report_q3.xlsx; 01_company_overview.docx; 03_it_security_policy.docx; 02_hr_policy_manual.docx,09_org_chart_and_roles.xlsx,"Linda Fischer authored the quarterly financial report, and she belongs to the Finance organization.","Linda Fischer, VP of Finance Operations, who reports to Sarah Chen (CFO).",Some expected sources were not retrieved.
Q18,Structured,Vectorless,1,1,1,17.543,0.001,17.541,1502,148,0.000314,03_it_security_policy.docx; 01_company_overview.docx; 05_project_approval_workflow.docx; 04_vendor_contract_acme.pdf; 02_hr_policy_manual.docx; 06_quarterly_financial_report_q3.xlsx; 09_org_chart_and_roles.xlsx,,"Storing financial reports and vendor contracts (classified as Confidential) requires encryption both at rest and in transit, and access must be limited to named individuals or roles.","Classified as Confidential; requires encryption at rest and in transit, with access limited to named individuals or roles.",OK
Q19,Structured,Vectorless,1,1,1,9.717,0.001,9.715,1195,115,0.000248,02_hr_policy_manual.docx; 04_vendor_contract_acme.pdf; 07_product_technical_manual.pdf; 05_project_approval_workflow.docx,,"$1,500 USD (or local currency equivalent).","$1,500 USD (or local currency equivalent), subject to manager approval.",OK
Q20,Structured,Vectorless,1,1,1,8.813,0.001,8.811,1066,192,0.000275,04_vendor_contract_acme.pdf; 02_hr_policy_manual.docx; 05_project_approval_workflow.docx,,"- **Termination for material breach:** 30 days’ written notice (with an opportunity to cure).  
- **Termination for convenience:** 90 days’ written notice (subject to the early‑termination fees in Exhibit C).",90 days for termination for convenience (Section 6.2); 30 days with cure opportunity for material breach (Section 6.1).,OK
